YEAR,Car_Age,MILEAGE,CAR_PRICE
2022,2,12000,52998
2021,3,28000,48998
2020,4,11000,53998
2022,2,23000,50998
2021,3,28000,48998
2021,3,21000,49990
2021,3,18000,53590
2021,3,29000,46990
2022,2,14000,52990
2020,4,16000,54990
2024,0,1763,67900
2023,1,5050,57790
2022,2,25784,54555
2020,4,18262,53968
2020,4,10455,54197
